iter,A_Si_O,A_O_O,C_Si_O,C_O_O,obj_fun,grad_max 
   1,471670.650209791434, 23137.220911563039,-2241.771770512743,-1884.114413837809,81.553128642667, 0.426432071305
   2,471670.164314421418, 23136.150231300995,-2328.917533023667,-1887.328597845201,65.951283522190, 0.003989734724
   3,471668.996243416739, 23061.518668080374,-2318.578573117077,-2237.883966763535,65.230511398412, 0.031167344707
   4,471667.686029531702, 22993.986349480656,-2351.785693660366,-2555.439798362157,64.832367269964, 0.000317805631
   5,471667.367769040866, 22998.409911362858,-2353.171153923985,-2556.450379889382,64.831559954869, 0.001088867622
   6,469308.010933847690, 56363.083377404037,-2592.118067535561,-11204.863806279685,52.651579473448, 0.062997792218
   7,469132.869617266930, 58838.809405660031,-2622.912087792813,-11845.973147599287,52.270698784182, 0.043941041226
   8,469132.672513641941, 58839.808429507299,-2659.188983120990,-11840.102588093665,51.238276089216, 0.012023702633
   9,469132.779478236858, 58852.742135533532,-2682.188409109275,-11774.441148013728,50.589864910631, 0.029447953202
  10,469134.173376057239, 58921.467365307988,-2668.294326193882,-11427.822618523089,47.721074234250, 0.065380219028
  11,469137.591808127938, 59131.059934400131,-2763.855183634163,-10367.070662363967,41.106357757990, 0.084102081444
  12,469137.598512726137, 59134.120372095771,-2772.454510221301,-10351.369725774417,40.672314425087, 0.026823313640
  13,469137.585122519522, 59134.060559878468,-2774.734491880670,-10351.514846159647,40.633487030090, 0.006832636894
  14,469137.582827564154, 59134.021585827846,-2775.315266016674,-10351.572931860219,40.631009478139, 0.001517537297
  15,469137.583481919952, 59133.988045497237,-2775.444256686943,-10351.608355462775,40.630864716984, 0.000380104258
  16,469137.588789796922, 59133.858429945234,-2775.550787888280,-10351.729859745756,40.630798874957, 0.000739297144
  17,469138.775551383500, 59108.823482084452,-2773.384038570206,-10374.284793623541,40.620041852532, 0.005954583914
  18,469139.373085689498, 59096.042459359785,-2773.564702378421,-10385.796513436382,40.615190978605, 0.002199794889
  19,469139.863333206216, 59085.710563848115,-2772.959424395206,-10394.943472684594,40.614235864677, 0.002016553727
  20,469139.866030314472, 59085.691687024657,-2772.788017328381,-10394.912801165614,40.614007326201, 0.000484268671
  21,469139.869758065499, 59085.650377573242,-2772.704944216967,-10394.864298976427,40.613975352028, 0.000267598261
  22,469144.951850966492, 59017.831754585379,-2775.538748121881,-10324.195042335818,40.596462752031, 0.000377074826
  23,469144.980823891412, 59017.406077400054,-2775.440210005584,-10324.005346616912,40.596385363417, 0.000625111882
  24,469145.626766565314, 59007.118738624682,-2776.046918532403,-10321.815729947799,40.594634349868, 0.005098208815
  25,469161.966969701520, 58748.119169819467,-2778.388669848805,-10267.155209090923,40.561931128892, 0.030304425325
  26,470197.926941253303, 42346.207916241328,-2761.193448146216,-6799.539556005109,37.118999331201, 0.031010505143
  27,470198.408862690965, 42338.921641307628,-2758.549871797324,-6797.761251433891,37.065206456357, 0.009011830466
  28,470198.415699795471, 42338.938743048413,-2757.783866207727,-6797.639585167186,37.060520594436, 0.002836326680
  29,470198.419115618977, 42338.948486584479,-2757.542778439967,-6797.548819759932,37.059978773682, 0.000951817925
  30,470198.425758128986, 42338.969504944020,-2757.327616101247,-6797.318943297436,37.059772694877, 0.000906470633
